trade_id,isin,trade_date,settlement_date,asset_class,notional_eur,price,quantity,bid,ask,mid_price,volume_j,volatility_30d,credit_rating,default_flag,sector,country_risk,is_anomaly_multivariate,credit_rating_was_missing,volatility_30d_was_missing,country_risk_was_missing,counterparty_name_hash,trader_id_hash,counterparty_id_hash
TRD005039,FR0000000038,2024-04-11,2024-04-15,derivative,318562.87,44.1651,7213.0,44.1087,44.2355,44.1721,1801460.0,23.82,aa,0.0,healthcare,17.5,0,0,0,0,bcdac91aa441b00a580e67342c1d807c64c6e4f616a0129e730236079a6f77b4,d5e67f037ef8f12d84bdbab5ec910ed0730c4c4fc6a6f378321ac67692bb20ed,19d253ba64374ef75c1ccaa72a4d3b8276ae48e26094a63bcb22c214241c3dd1
TRD004388,FR0000000030,2024-05-20,2024-05-22,equity,225019.36,18.7939,11973.0,18.77,18.814,18.792,2237246.0,26.9,bb,0.0,healthcare,9.8,0,0,0,0,1cfaf6c1982245581cf4625d65b2139268852dfb5c16bebea29f7e96a56c3e04,130af4b21a242eadf1292740d56b24da807014031db084dee139b1e7e0ba27ac,85357cf60bc41da9330da3f7718873433ce1c3baacebb06df42d32c9a7b5be8c
TRD004730,FR0000000122,2024-06-17,2024-06-19,fx,27226.82,0.9385,29011.0,0.937346,0.9409,0.9391229999999999,3298536.0,70.21,bbb,0.0,financials,58.0,0,1,0,0,95ee73b9e18eac4075ddbd7890be587e14c89646daf16326326f359ac01fd477,00ae97ddbb04d11f64e49cbc1c22cc172e1c70152cb0ff0433fa8e38494da2ec,d548e76e535adeebc35975a8dee43b74042ec3b314bb210135dba6961f8f7243
TRD003515,FR0000000127,2024-04-26,2024-04-29,derivative,634016.32,28.3943,22329.0,28.3615,28.4635,28.4125,4313855.0,45.41,bbb,0.0,utilities,37.8,0,0,0,0,9d2a5277ab44e8c2726fd0ff45bd995bbd432d6371ee8167a3b88eec39edead5,1e6d2809a3132870665626764cae18d9a867ae5cdcb805addc88c15a758dce71,56be1b23787e06cdfe3e4de5329276b9b57896889dc8fc70e3c2b5ca58dd6d12
TRD006031,FR0000000119,2024-06-24,2024-06-26,equity,8806576.471249998,602.6302,40765.0,602.53,603.0291,602.77955,2829316.0,32.85,bbb,0.0,financials,74.0,0,0,0,0,7b21f70363e6dff827b607dc4d1d418c1ee8dfaa3e6ed2305a41502c4752196d,98e7093d712801898bb140be5cc8c926acbb4cf4a30753c24382d663ecebe388,9fcb3eb7a7f5f1ba94af06cbfb8f2e964c3de9929c8bca1154edc54b586cba3b
TRD007438,FR0000000126,2024-04-08,2024-04-10,fx,8624.51,1.1243,7671.0,1.12121,1.1267,1.123955,2078069.0,42.07,bbb,0.0,utilities,34.4,0,0,0,0,9d2a5277ab44e8c2726fd0ff45bd995bbd432d6371ee8167a3b88eec39edead5,1b3f931ffa3ca6bfa317885b2a9c3c8db785139038d101bcb1aaf65fca0826cf,56be1b23787e06cdfe3e4de5329276b9b57896889dc8fc70e3c2b5ca58dd6d12
TRD006910,FR0000000082,2024-04-29,2024-05-01,fx,15941.95,1.0718,14874.0,1.070087,1.0743,1.0721935,4731636.0,45.51,ccc,1.0,consumer discretionary,26.2,0,0,1,0,8a44bc55d87fe0d355fb049181fe66e03b0a7db7a1ab8a961dcb6c80c35eb7df,e74fa8d6192595ed0ede0ee58ce2154e9c2089b6756928b9ba3df6e7d79ce7b2,2baea6ece29ec8124de068706c50256990833fd4a00054780746bb7734b0dfe3
TRD004136,FR0000000113,2024-04-15,2024-04-17,fx,10038.9,1.2136,8272.0,1.212839,1.2179,1.2153695,1052891.0,45.54,bb,0.0,energy,15.9,0,0,0,0,cc8e032a881447bcc67aff3ae504cc0c788f60494a1a02e21b166c59122f2ea8,c5ac54aa199509df4f8ce69733f6ddd9ba4fd7f43555c078a9395ac2b3fe86d5,4cbfc259a17380de417c2b19920c8cb1aeff8be18205990d77c7102a7797a35c
TRD002837,FR0000000004,2024-01-08,2024-01-10,fx,50743.68,1.14,44512.0,1.138952,1.143,1.140976,4111720.0,45.51,d,0.0,technology,14.0,0,0,1,0,77a4af582d240fa020439f0c878260f7a7fcba1c8accc199a949fa4c666221ac,477d2ed402557bc1df4b32b18fed4885c0ca09b32a79794bccba3fe17152edab,ba3536615655a8106a7669b7856d575bdc4c2f26c96510b1198a980f9b3404b8
TRD007765,FR0000000128,2024-05-14,2024-05-16,fx,34821.41,0.9234,37710.0,0.921154,0.9237,0.922427,4661358.0,75.82,aa,0.0,technology,42.0,0,0,0,0,e5cd94eb8d1d6ee42c55bcb2c377a5d48252c3f6550b9cfe4752bee23a7863ef,98e7093d712801898bb140be5cc8c926acbb4cf4a30753c24382d663ecebe388,aa91384e8401dc57094c09a23c72208a5a0410f95708cf47ae847ee77fd90885
TRD002177,FR0000000112,2024-04-11,2024-04-15,fx,37211.62,1.404,26504.0,1.399054,1.4056,1.402327,2801375.0,55.64,a,0.0,industrials,11.6,0,0,0,0,51a51206564d79c0666c1dc5b85e6046500da377b253b925ffabbd0957e1e29a,00ae97ddbb04d11f64e49cbc1c22cc172e1c70152cb0ff0433fa8e38494da2ec,fa9baabe99b6963c3cf5df1375367ed6d91651b06f6f0de5512ee33e1ea01adc
TRD005881,FR0000000048,2024-01-05,2024-01-08,equity,1802700.22,122.8667,14672.0,122.83,123.0346,122.9323,2712353.0,59.32,bb,0.0,healthcare,42.9,0,0,0,0,a0000d3b2f1b6ed80d2c86683b439f9b5dbfba7cc3d05b16ef606bb359994d70,1e6d2809a3132870665626764cae18d9a867ae5cdcb805addc88c15a758dce71,d7ae02986b78e18cadb64a0dea696773bd89d26b69db85d1b8903fcd41494d04
TRD002928,FR0000000016,2024-06-24,2024-06-26,derivative,246326.97,14.9561,16470.0,14.9478,14.9611,14.954450000000001,143320.0,38.57,bb,0.0,financials,41.7,0,0,0,0,43c388ab67f6788aaf4553813bff1bcd78bdfe1f07d52fe6b8254b2005a14569,28b2e1f508b2f45a6569a77e3262de05ec1f1575903b55b91f526d375d830560,45e7d744ee3b091ef8cd464995fb3fe9be27cb766647a32449acd163dcf70183
TRD005153,FR0000000065,2024-03-28,2024-04-01,bond,3209961.33,101.8518,31516.0,101.7402,101.9592,101.8497,2245585.0,55.29,d,1.0,utilities,35.4,0,0,0,0,07495d28dc0a69d4e9c549093505b040db2f988f609067746e6d102ee475bc7d,cd9f75c6628f01c232c59a3d4afaa5b39da555dc0b0af01934f3f10befb45fe8,87e76ce865fb5792bb6ee1df1cd30a64c7f42e98131d5ed2c0890f49b82bd3cd
TRD004408,FR0000000107,2024-04-25,2024-04-29,derivative,144489.6,17.1318,8434.0,17.1206,17.1343,17.12745,2190689.0,68.44,bbb,0.0,technology,70.7,0,1,0,0,37e1cc0129062ed1357c0c760433f7d0db6d66eea7ee9f4e139ffb099677bef6,ffe3acbe7b034241650010633d7c50ad11ffeb6e9fc29e69c0513bbeab3f99f0,ecabe1533bd9836d2aca75cb8ffb553e7ba8d646d23466a4cbc6e3c3a8a8c2b0
TRD002152,FR0000000128,2024-06-25,2024-06-27,derivative,1165703.72,46.4961,25071.0,46.4296,46.5368,46.4832,1234825.0,71.85,bbb,0.0,energy,23.5,0,0,0,0,8474af83fd6b699cd7dece99cb50aca9fa3f596eba365a6e9f9889e7da9b5a85,d5e67f037ef8f12d84bdbab5ec910ed0730c4c4fc6a6f378321ac67692bb20ed,e6ae329f2f385da4a9d4a9a710f337b33243e4fe190c3fbc49352c3f1f770415
TRD006116,FR0000000128,2024-02-19,2024-02-21,derivative,492945.28,15.8779,31046.0,15.87,15.892,15.881,2687658.0,43.57,bbb,0.0,technology,46.9,0,0,0,0,0c24ddb56fa9b42c79505510d87a13f59c9c73e2439b08040b111846ab2bee18,c354953526cc3f772ab230be4a98e863fc18e83ce500d07d0b3c5c5ac6cdae0a,2f39ca77ef3a167641af1ee0dc04cf4c7bdc7518f0132417d6f3a6fecea4e1fb
TRD008598,FR0000000147,2024-05-21,2024-05-23,equity,8806576.471249998,734.8518,17826.0,732.63,735.7327,734.1813500000001,1293300.0,36.32,bbb,0.0,technology,44.2,0,0,0,0,08f65dc6362cec3ff14e0f979cf741e859357a403944bdb2df6ca28329a71b9c,00ae97ddbb04d11f64e49cbc1c22cc172e1c70152cb0ff0433fa8e38494da2ec,68ff77ef6d74175ecdeae051bed539763cb5a01714d1747492ab3a7015979f72
TRD007404,FR0000000072,2024-06-18,2024-06-20,equity,8806576.471249998,546.5728,40707.0,546.44,546.7483,546.59415,4783887.0,34.95,a,0.0,technology,27.6,0,0,0,0,ab2b80fa3fb2a839c6ed527e7b3245cb33c549528c3de2f6e26abd583fc1c25e,8c183d99a2fcda30f0978ba1aea028e73457f2aecd275de83fde141a609849ca,f3176e105aad159b0dfb9e7b92ba35d744e3c2fcda42eff6305eb8f2827178c0
TRD005614,FR0000000027,2024-01-08,2024-01-10,bond,1415609.21,94.3425,15005.0,94.2714,94.4846,94.378,1868621.0,53.29,bb,0.0,healthcare,44.3,0,0,0,0,a0000d3b2f1b6ed80d2c86683b439f9b5dbfba7cc3d05b16ef606bb359994d70,130af4b21a242eadf1292740d56b24da807014031db084dee139b1e7e0ba27ac,d7ae02986b78e18cadb64a0dea696773bd89d26b69db85d1b8903fcd41494d04
TRD000800,FR0000000126,2024-05-03,2024-05-06,derivative,286083.83,16.452,17389.0,16.4346,16.4969,16.46575,2043199.0,45.51,a,0.0,healthcare,40.8,0,0,1,0,f2abab107ced7b9c989f14b8729b5bec8e9eacc145aeac3e8078eb56726e7f03,3d4a98b865884bec4aafdce70de970388c6523c58b46198982b596ac88246f8e,15e4d24df550c016585d27bc5ef7544d8bb5517679072137cba6fbdda55e9115
TRD006822,FR0000000131,2024-04-08,2024-04-10,derivative,901694.66,37.5159,24035.0,37.4778,37.6039,37.540850000000006,1664320.0,45.51,a,0.0,financials,43.1,0,0,1,0,95cd7c1cb71ce251e30cde2ec28a5d5679ed8bfbb115d18259d2d43c3c0b556e,e74fa8d6192595ed0ede0ee58ce2154e9c2089b6756928b9ba3df6e7d79ce7b2,e03cb75761ddd7bbea51cb4c8815eb9fdd74d8fa28be914ce07ad86e1dcde544
TRD005873,FR0000000122,2024-06-21,2024-06-24,derivative,295360.85,6.823,43289.0,6.8196,6.8296,6.8246,2008643.0,14.77,b,0.0,industrials,15.5,0,0,0,0,1b2664d5f9e0b29e8445bef73bb4e52adde10d7fa842e44f76f6444f41d7ea79,28b2e1f508b2f45a6569a77e3262de05ec1f1575903b55b91f526d375d830560,525cd394bdc03acd428fa7264cb8db3f7decde603e0f7003ee34da4cd81f6495
TRD003399,FR0000000020,2024-02-20,2024-02-22,derivative,304842.25,8.6048,35427.0,8.5942,8.6086,8.6014,2737737.0,44.36,bbb,0.0,energy,26.4,0,0,0,0,8474af83fd6b699cd7dece99cb50aca9fa3f596eba365a6e9f9889e7da9b5a85,cad35667ea63f0e350f05ab423369f9aea4943639ba6610aec58508852769420,e6ae329f2f385da4a9d4a9a710f337b33243e4fe190c3fbc49352c3f1f770415
TRD004342,FR0000000101,2024-06-28,2024-07-01,fx,10032.87,0.9252,10844.0,0.92495,0.9255,0.925225,2078564.0,49.77,aa,0.0,financials,22.7,0,0,0,0,ede409259acd941a620c55254a4889ec91ae12c1f01403ebf77ac4e05e5df2e0,ffe3acbe7b034241650010633d7c50ad11ffeb6e9fc29e69c0513bbeab3f99f0,cb7340f4ca0eed03e06f7bbb914d9eab7e01ba952ac767b85cefdb7bd6d789e4
TRD008365,FR0000000099,2024-05-07,2024-05-09,bond,4974605.24,111.346,44677.0,111.168,111.6471,111.40755,1624573.0,77.27,bb,1.0,financials,41.8,0,0,0,0,43c388ab67f6788aaf4553813bff1bcd78bdfe1f07d52fe6b8254b2005a14569,59a7cc005d6b04b3ffcab460804622f5cf036735168a1d67094487432f3cb9e7,45e7d744ee3b091ef8cd464995fb3fe9be27cb766647a32449acd163dcf70183
TRD007092,FR0000000095,2024-01-08,2024-01-10,fx,10670.15,1.1284,9456.0,1.12798,1.1289,1.1284399999999999,2755587.0,56.77,bbb,0.0,financials,36.7,0,1,0,0,95cd7c1cb71ce251e30cde2ec28a5d5679ed8bfbb115d18259d2d43c3c0b556e,622dd9c20846b0697764a4c79d9f1c34c3e0ea5bedf2672a5067ec50b8bebfa1,e03cb75761ddd7bbea51cb4c8815eb9fdd74d8fa28be914ce07ad86e1dcde544
TRD003257,FR0000000093,2024-01-16,2024-01-18,equity,8806576.471249998,782.4262,43745.0,779.39,783.0106,781.2003,1472045.0,31.07,b,1.0,industrials,11.9,0,0,0,0,1b2664d5f9e0b29e8445bef73bb4e52adde10d7fa842e44f76f6444f41d7ea79,622dd9c20846b0697764a4c79d9f1c34c3e0ea5bedf2672a5067ec50b8bebfa1,525cd394bdc03acd428fa7264cb8db3f7decde603e0f7003ee34da4cd81f6495
TRD005099,FR0000000016,2024-05-28,2024-05-30,bond,2087253.21,109.6592,19034.0,109.577,109.7013,109.63915,3283000.0,8.61,bb,0.0,technology,66.5,0,0,0,0,37e1cc0129062ed1357c0c760433f7d0db6d66eea7ee9f4e139ffb099677bef6,59a7cc005d6b04b3ffcab460804622f5cf036735168a1d67094487432f3cb9e7,ecabe1533bd9836d2aca75cb8ffb553e7ba8d646d23466a4cbc6e3c3a8a8c2b0
TRD004514,FR0000000102,2024-05-06,2024-05-08,fx,15029.6,1.1039,13615.0,1.101732,1.1062,1.103966,2245484.0,7.08,d,1.0,technology,16.8,0,0,0,0,77a4af582d240fa020439f0c878260f7a7fcba1c8accc199a949fa4c666221ac,622dd9c20846b0697764a4c79d9f1c34c3e0ea5bedf2672a5067ec50b8bebfa1,ba3536615655a8106a7669b7856d575bdc4c2f26c96510b1198a980f9b3404b8
TRD008173,FR0000000095,2024-05-29,2024-05-31,bond,2655484.97,87.6282,30304.0,87.4321,87.7128,87.57245,2364815.0,9.29,bbb,0.0,industrials,54.9,0,0,0,0,8618978338d2c488a636c1d2e350625f5b0984fe3f7cb681a3b5ca8361b0ce5b,622dd9c20846b0697764a4c79d9f1c34c3e0ea5bedf2672a5067ec50b8bebfa1,9ee7764fd0adacd90b6da6b00b60781749b859082f5a72838776f63af65a8abb
TRD000802,FR0000000080,2024-05-13,2024-05-15,fx,10862.39,1.2597,8623.0,1.258703,1.2641,1.2614014999999998,4317248.0,22.5,bb,0.0,financials,53.8,0,0,0,0,b5a3ec9ed368cb087fc50398126356b369be38cacb61bd2c4dfc32e0f0651a72,cafdeb512a3ed3b6cbd8c8802cb1ad578d3a0476d5855c092e66984b04fe5da6,ccc094df45bbb23ca232cdf7828b39b7ab6d763ce2c1cd73db418f7ff446cc21
TRD004502,FR0000000113,2024-03-26,2024-03-28,derivative,1591236.72,44.9845,35373.0,44.8815,45.0558,44.96865,4237574.0,23.58,b,0.0,industrials,14.0,0,0,0,0,1b2664d5f9e0b29e8445bef73bb4e52adde10d7fa842e44f76f6444f41d7ea79,477d2ed402557bc1df4b32b18fed4885c0ca09b32a79794bccba3fe17152edab,525cd394bdc03acd428fa7264cb8db3f7decde603e0f7003ee34da4cd81f6495
