trade_id,counterparty_id,counterparty_name,isin,trade_date,settlement_date,asset_class,notional_eur,price,quantity,bid,ask,mid_price,volume_j,volatility_30d,credit_rating,default_flag,sector,country_risk,trader_id
TRD005039,CP013,Berger,FR0000000038,2024-04-11,2024-04-15,Derivative,318562.87,44.1651,7213,44.1087,44.2355,44.1721,1801460,23.82,AA,0,Healthcare,17.5,TR001
TRD004388,CP004,Paul Bertin SARL,FR0000000030,2024-05-20,2024-05-22,Equity,225019.36,18.7939,11973,18.77,18.814,18.792,2237246,26.9,BB,0,Healthcare,9.8,TR019
TRD004730,CP010,Allard,FR0000000122,2024-06-17,2024-06-19,fx,27226.82,0.9385,29011,0.937346,0.9409,0.9391,3298536,70.21,,0,Financials,58.0,TR024
TRD003515,CP031,Lebon et Fils,FR0000000127,2024-04-26,2024-04-29,DERIV,634016.32,28.3943,22329,28.3615,28.4635,28.4125,4313855,45.41,BBB,0,Utilities,37.8,TR023
TRD006031,CP036,Chevalier Lamy et Fils,FR0000000119,2024-06-24,2024-06-26,equity,24566220.1,602.6302,40765,602.53,603.0291,602.7795,2829316,32.85,BBB,0,Financials,74.0,TR010
TRD007438,CP031,Lebon et Fils,FR0000000126,2024-04-08,2024-04-10,fx,8624.51,1.1243,7671,1.12121,1.1267,1.124,2078069,42.07,BBB,0,Utilities,34.4,TR009
TRD006910,CP034,Fabre,FR0000000082,2024-04-29,2024-05-01,fx,15941.95,1.0718,14874,1.070087,1.0743,1.0722,4731636,,CCC,1,Consumer Discretionary,26.2,TR018
TRD004136,CP022,Gros Cohen SARL,FR0000000113,2024-04-15,2024-04-17,fx,10038.9,1.2136,8272,1.212839,1.2179,1.2154,1052891,45.54,BB,0,Energy,15.9,TR003
TRD002837,CP040,Bailly,FR0000000004,2024-01-08,2024-01-10,fx,50743.68,1.14,44512,1.138952,1.143,1.141,4111720,-,D,0,Technology,14.0,TR016
TRD007765,CP038,Maréchal,FR0000000128,2024-05-14,2024-05-16,FX,34821.41,0.9234,37710,0.921154,0.9237,0.9224,4661358,75.82,AA,0,Technology,42.0,TR010
TRD002177,CP003,Breton,FR0000000112,2024-04-11,2024-04-15,fx,37211.62,1.404,26504,1.399054,1.4056,1.4023,2801375,55.64,A,0,Industrials,11.6,TR024
TRD005881,CP016,Gros,FR0000000048,2024-01-05,2024-01-08,EQ,1802700.22,122.8667,14672,122.83,123.0346,122.9323,2712353,59.32,BB,0,Healthcare,42.9,TR023
TRD002928,CP015,Traore,FR0000000016,2024-06-24,2024-06-26,Derivative,246326.97,14.9561,16470,14.9478,14.9611,14.9545,143320,38.57,BB,0,Financials,41.7,TR021
TRD005153,CP023,Guillon Poulain et Fils,FR0000000065,2024-03-28,2024-04-01,bond,3209961.33,101.8518,31516,101.7402,101.9592,101.8497,2245585,55.29,D,1,Utilities,35.4,TR008
TRD004408,CP012,Lacroix,FR0000000107,2024-04-25,2024-04-29,derivative,144489.6,17.1318,8434,17.1206,17.1343,17.1274,2190689,68.44,,0,Technology,70.7,TR005
TRD002152,CP006,Moulin,FR0000000128,2024-06-25,2024-06-27,Derivative,1165703.72,46.4961,25071,46.4296,46.5368,46.4832,1234825,71.85,BBB,0,Energy,23.5,TR001
TRD006116,CP044,Reynaud,FR0000000128,2024-02-19,2024-02-21,Derivatives,492945.28,15.8779,31046,15.87,15.892,15.881,2687658,43.57,BBB,0,Technology,46.9,TR006
TRD008598,CP008,Dufour S.A.R.L.,FR0000000147,2024-05-21,2024-05-23,Equities,13099468.19,734.8518,17826,732.63,735.7327,734.1814,1293300,36.32,BBB,0,Technology,44.2,TR024
TRD007404,CP032,Tessier,FR0000000072,2024-06-18,2024-06-20,EQ,22249338.97,546.5728,40707,546.44,546.7483,546.5942,4783887,34.95,A,0,Technology,27.6,TR012
TRD005614,CP016,Gros,FR0000000027,2024-01-08,2024-01-10,bond,1415609.21,94.3425,15005,94.2714,94.4846,94.378,1868621,53.29,BB,0,Healthcare,44.3,TR019
TRD000800,CP043,Noël S.A.R.L.,FR0000000126,2024-05-03,2024-05-06,derivative,286083.83,16.452,17389,16.4346,16.4969,16.4657,2043199,,A,0,Healthcare,40.8,TR022
TRD006822,CP002,Maillot,FR0000000131,2024-04-08,2024-04-10,derivative,901694.66,37.5159,24035,37.4778,37.6039,37.5409,1664320,,A,0,Financials,43.1,TR018
TRD005873,CP041,Jacquot S.A.R.L.,FR0000000122,2024-06-21,2024-06-24,derivative,295360.85,6.823,43289,6.8196,6.8296,6.8246,2008643,14.77,B,0,Industrials,15.5,TR021
TRD003399,CP006,Moulin,FR0000000020,2024-02-20,2024-02-22,derivative,304842.25,8.6048,35427,8.5942,8.6086,13.9173,2737737,44.36,BBB,0,Energy,26.4,TR015
TRD004342,CP045,Leclerc S.A.S.,FR0000000101,2024-06-28,2024-07-01,FX,10032.87,0.9252,10844,0.92495,0.9255,0.9252,2078564,49.77,AA,0,Financials,22.7,TR005
TRD008365,CP015,Traore,FR0000000099,2024-05-07,2024-05-09,Fixed Income,4974605.24,111.346,44677,111.168,111.6471,111.4076,1624573,77.27,BB,1,Financials,41.8,TR017
TRD007092,CP002,Maillot,FR0000000095,2024-01-08,2024-01-10,fx,10670.15,1.1284,9456,1.12798,1.1289,1.1284,2755587,56.77,,0,Financials,36.7,TR002
TRD003257,CP041,Jacquot S.A.R.L.,FR0000000093,2024-01-16,2024-01-18,EQUITY,34227234.12,782.4262,43745,779.39,783.0106,781.2003,1472045,31.07,B,1,Industrials,11.9,TR002
TRD005099,CP012,Lacroix,FR0000000016,2024-05-28,2024-05-30,Fixed Income,2087253.21,109.6592,19034,109.577,109.7013,109.6392,3283000,8.61,BB,0,Technology,66.5,TR017
TRD004514,CP040,Bailly,FR0000000102,2024-05-06,2024-05-08,Foreign Exchange,15029.6,1.1039,13615,1.101732,1.1062,1.104,2245484,7.08,D,1,Technology,16.8,TR002
TRD008173,CP025,Pereira,FR0000000095,2024-05-29,2024-05-31,BOND,2655484.97,87.6282,30304,87.4321,87.7128,87.5725,2364815,9.29,BBB,0,Industrials,54.9,TR002
TRD000802,CP021,Bonnet SA,FR0000000080,2024-05-13,2024-05-15,fx,10862.39,1.2597,8623,1.258703,1.2641,1.2614,4317248,22.5,BB,0,Financials,53.8,TR007
TRD004502,CP041,Jacquot S.A.R.L.,FR0000000113,2024-03-26,2024-03-28,Derivative,1591236.72,44.9845,35373,44.8815,45.0558,44.9686,4237574,23.58,B,0,Industrials,14.0,TR016
TRD002630,CP023,Guillon Poulain et Fils,FR0000000091,2024-04-03,2024-04-05,Fixed Income,400254.13,96.1456,4163,96.048,96.2398,96.1439,2776020,45.62,D,0,Utilities,40.8,TR010
TRD000641,CP043,Noël S.A.R.L.,FR0000000135,2024-03-18,2024-03-20,equity,8003524.06,371.9974,21515,371.91,372.7129,372.3115,938987,#VALUE!,A,0,Healthcare,37.8,TR005
TRD003613,CP011,Traore,FR0000000145,2024-02-12,2024-02-14,equity,28084606.71,692.0459,40582,691.84,692.9998,692.4199,4749941,66.11,CCC,0,Financials,37.0,TR008
TRD005084,CP021,Bonnet SA,FR0000000094,2024-04-03,2024-04-05,equity,17961153.64,359.7411,49928,359.47,360.5988,360.0344,1083216,,BB,0,Financials,57.1,TR010
TRD003108,CP026,Menard S.A.,FR0000000106,2024-04-11,2024-04-15,fx,68127.52,1.3833,49250,1.382768,1.3852,1.384,2441278,12.21,AA,0,Energy,8.3,TR008
TRD004393,CP029,Le Goff,FR0000000089,2024-01-15,2024-01-17,equity,12056691.97,363.4788,43057,279.37,280.5389,279.9545,514854,80.71,BBB,0,Technology,36.5,TR013
TRD004483,CP030,Marie,FR0000000060,2024-03-25,2024-03-27,Bond,3023503.6,92.2081,32790,91.9784,92.4366,92.2075,2079009,66.27,A,0,Technology,56.1,TR018
